,title,entreprise,localisation,date,url to apply,details,job description
0,Développeur Front-End,Inventiv IT,Levallois-Perret,il y a 1 semaine,,"Et si vous découvriez une entreprise créée en 2008 autour de l’humain et l’envie d’accompagner différemment ses clients.Vous recherchez une entreprise…Avec un fonctionnement horizontal ? Nos consultants ont des responsabilités au sein de nos 4 pôles centraux Entreprise Digital, DATA, CLOUD et FACTORY.  Référencée au sein des grands comptes du CAC 40, et impliquée sur toutes les phases de projets passionnants ? Retrouvez les interviews des Inventifs sur LinkedIn avec #LesInterviewsDesInventifs Rejoignez Inventiv IT !Vous êtes au cœur de nos priorités, nos actions en sont le reflet : des activités sportives et ludiques hebdomadaires, un accompagnement par un Coach tout au long de votre carrière, une flexibilité d’horaires et du télétravail, qui apportent un équilibre de vie professionnelle et privée.Vos compétences et ce que nous attendons :De formation supérieure en informatique, vous possédez au moins une expérience en développement mobile avec le Framework Flutter (Dart) :Bonnes connaissances de Flutter (1 an d'expérience minimum en projet pro ou perso)Solides compétences en développement responsive  Travailler avec les UX/UI pour avoir des interfaces ergonomiques et facile d'utilisationMaîtrise de GIT et Gitlab  Bonnes connaissances des méthodologies de versionning (gitflow)Notions DEVOPS et CI/CD  Sensible à l'expérience utilisateur et aux interfaces mobilesEt à la pratique du Behavior Driven Developement Maitriser les outils de ticketing (jira)Savoir travailler en agilité (Scrum ou Kanban)RequirementsIngénieur de formation, vous disposez d'au moins 1 an d'expérience en développement front end Flutter.Doté d'un esprit de rigueur, vous êtes capable de faire preuve de leadership et d'un sens de l'engagement.Vous êtes curieux et persévérant. Vous souhaitez apprendre et évoluer sur les dernières technologies. Inventiv IT vous offre ce cadre.Un bon niveau d'anglais est un plus.BenefitsPrimes selon votre investissement pour Inventiv ITRemboursement intégral du Pass NavigoCarte repas Swile12 RTTForfait téléphone et internetSuivi RH de chaque consultant et vie de l’entrepriseEnvironnement de travail agréable et évolutif (espaces de co-working, réseau social d’entreprise, télétravail, coachs professionnels et sportifs…)","Président/DG,Temps plein,Ingénierie et Technologies de l’information,Services et conseil informatiques"
1,Developer front-end Internship,Lydia,Paris,il y a 3 semaines,https://fr.linkedin.com/jobs/view/externalApply/3297461574?url=https%3A%2F%2Flydiasolutions%2Eteamtailor%2Ecom%2Fjobs%2F2117798-developer-front-end-internship&urlHash=3XkT&refId=QVRa0BIG2SiEoICemi9y2Q%3D%3D&trackingId=7kMXgrGBStnKmrIEGsr6cw%3D%3D&trk=public_jobs_apply-link-offsite,"With 6 million users and an impressive 5,000 new customers joining every day, Lydia aims to become one of Europe’s leading financial services organizations. Founded in 2013, Lydia has been recognized as one of France’s most promising start-ups through its inclusion into the ""Next 40"" ranking.After reaching the unicorn milestone in 2021, we have plans to accelerate our European deployment while continuing to offer additional innovative solutions.Part of our growth strategy is centered around attracting top talent to help us nurture our ongoing success. We are now looking for our new front-end apprentice.You will join the front-end team for many internal missions.What you will do : Update our website and blog (update and create new templates/pages)Upgrade and update our current internal tools (Back office, plugins, DCI tool…)Continue our work with the current stack (React JS with typescript) and implements testsWork with many teams and profils (PO, backend, designer…) on several subjectsYou are in the right place if :You have at least 2 years of web studyYou have already developed some websites (portfolio, landing page, newsletter…)You know very well HTML and CSSYou know Javascript nativeYou have a design sensitivityAnd it’s a plus if : You know React JSYou know Node JSYou know TypescriptYou know SASSYou have some basics in PHP (and wordpress)You know what a design system is At Lydia, we believe that diversity is a strength. Diversity is part of our culture and identity. We want to create an inclusive culture where all forms of diversity are seen as a real value to the company. Lydia is therefore proud to be an Equal Employment Opportunity employer. We do not discriminate based upon race, religion, colour, national origin, sex (including pregnancy, childbirth, reproductive health decisions, or related medical conditions), sexual orientation, gender identity, gender expression, physical characteristics (size, weight ... ).age, status as an individual with a disability, genetic information, or other applicable legally protected characteristics.Recruitment Process : Phone interview with a Talent Acquisition SpecialistHome-assignmentInterview with Damien LAURENT and Maël GEOFFROY, (Front-end team)Interview with Alexandre HEIMBURGER, (CTO) - Optional","Non pertinent,Stagiaire / Alternant,Ingénierie et Technologies de l’information,Services et conseil informatiques"
2,Développeur front-end,Jalgos,Paris,il y a 3 semaines,https://fr.linkedin.com/jobs/view/externalApply/3333123343?url=https%3A%2F%2Fangel%2Eco%2Fcompany%2Fjalgos%2Fjobs%2F2020470-developpeur-front-end%3Futm_campaign%3Dlinkedin_syndication%26utm_source%3Dlinkedin&urlHash=f2ab&refId=QVRa0BIG2SiEoICemi9y2Q%3D%3D&trackingId=9qWvK4yIhQGK3JwsYL0Uyg%3D%3D&trk=public_jobs_apply-link-offsite,"Présentation de JalgosSpécialiste En Machine Learning Et Data Science, Nous Construisons Des Applications à Base D’algorithmes D’intelligence Artificielle PropriétairesUkpik https://ukpik.ai/ une solution de management de vidéos pour la télésurveillance qui utilise notre algorithme de détection automatique d'intrusions avec 1 million d’alarmes traitées chaque mois.Lymia https://lymia.eu/ un outil d'aide au recrutement qui permet de cartographier les talents et de rechercher par candidat idéal dans des viviers de plus de 10 000 profils.Nous développons aussi une suite algorithmique et technologique permettant de construire et déployer rapidement des solutions de traitement de données.Tes missionsOn recherche un développeur ou une développeuse front-end passionné(e), créatif(ve) et autonome pour renforcer notre équipe. Tu vas construire en lien avec nos équipes UX/UI design, différentes solutions en intégrant des modèles de data science dans des éléments front pour obtenir une solution complète pour nos clients.Tu travailleras sur nos solutions pour le recutement Lymia https://lymia.eu/ et la télésurveillance intelligente Ukpik https://ukpik.ai/Tu contribueras à une bibliothèque de composants web propriétaireTu vas créer de nouveaux composants en ReactJSTu pourras être amené à traiter des problématiques full-stack selon l’avancement du projetCe Que Tu Apprendras Chez NousLangages : node.js, JavaScript, ReactJS, golangTechnologies : Git, SQL et NoSQL, D3.js, Docker, Microservices, CI/CDComposants à développerIntégration de bases de données comme DGraph, Clickhouse, PostgresDéveloppement d'un système de mise en page pour les vues front-endRecherche sur les techniques de visualisation de données et implémentation d'outils génériquesLa vie chez JalgosAu sein d’une entreprise jeune et dynamique, tu auras la possibilité d’évoluer dans une ambiance bienveillante en lien étroit avec notre équipe expérimentée. Tu travailleras sur des projets valorisants avec des technologies pointues pour parfaire ta formation. Responsabilités et prise d’initiative, flexibilité et apprentissage seront les maîtres mots pendant ton stage.","Premier emploi,Temps plein,Ingénierie et Technologies de l’information,Services et conseil informatiques"
3,Frontend Developer,Homa,Paris,il y a 3 semaines,,"Homa Games is the world’s leading platform for creating and publishing mobile games. Game developers from around the world use Homa’s technologies to power their creativity. We’re a team of 100 creative, data-centric minds helping developers to turn their games into global hits played by millions of users. Based in Paris, in the last year we opened 5 offices in 4 countries and doubled our team.Our strategy relies on powerful Tech built in-house. Homa’s platform provides a comprehensive set of software solutions to scout new trends and ideas, execute real-time A/B testing of all the features of the game through a no code SDK, and to distribute and monetize the games. Through this platform, Homa provides an end-to-end digital ecosystem for developers to focus on the right idea, optimize all the features, and distribute the games worldwide massively. Apps powered by Homa creators have been downloaded more than 500 million times.We are a diverse team from various backgrounds (artists, business, engineers, entrepreneurs, ex strategy consultants) and origins (>20 nationalities). We are passionate about games and working with studios & platform partners all around the world (US, Europe, and Asia). We aim to give our games a step ahead of competition, tailor-made support to our studio partners, and fair & transparent cooperation.In October 2021, we raised a $50 million Series A round led by Northzone with participation of Singular and renowned business angels including King and FuboTV founders and Spotify founder Daniel Ek's family office, on top of a previous $15 million round with seed investors Headline and Eurazeo in February.Join our team as a Frontend Developer and help Homa Games grow into one of the best game studio / publisher out there.Role & Missions – What You Will Do 🚀Design & develop scalable frontend solutions with high quality code for our current and future products. Our main platform Homa Lab covers many facets of the gaming industry from our own creative video hub to the A/B testing interface. The product is used by both our internal teams and hundreds of game developers around the world.Working closely with our BE and design teams, you create, integrate, improve and maintain specific features based on customers needs and requests. You design and document them in detail.Our goal is to build the best tech tools out there from SDK to marketability testing platform allowing game developers to fully unlock their creativity.RequirementsAbout you – Who you are 🦄2+ years of experience as a Full Stack or Frontend DeveloperStrong experience with HTML, CSS & ReactJS (or AngularJS, VueJS, EmberJS)Strong experience with JavaScript / TypeScriptExperience with restful applications and JSON/API usageExperience with NodeJSTeam playerLiving in the Europe time zones +/- 2 hoursFluent in EnglishGood to have 💪University degree in IT, computer science or information systemsPrevious experience with GraphQLGood knowledge of web UXKnowledge of OOP concepts, Linux and databasesExperience in writing testsExperience with Kubernetes or other orchestratorsBenefitsPerks—What you get 🎁  Success is its own reward, but here are the perks as well.You’ll be working with top tier talent from 34+ countries who worked at top companies: Google, Snapchat, Facebook.Don’t live in France or have a right to work here? No worries, we offer sponsorship and relocation packages.If you’re interested in working from our newly-renovated Paris HQ with a rooftop garden and WeWork amenities, we’ve got a desk right here…You’ll have two annual reviews, meaning you’ll have two chances a year to prove you should be earning more.Don't speak French and don't want to learn it? Pas de problème, we work in English.See the world via team events + workation (the infamous company-wide Homa trip). If you want to come to Paris for a conference or a meeting, we cover the costs.Take a long lunch. Go to the dentist. Book a spin class. We’ll trust you to get the job done.Knowledge shares, Learning Days and a full-on learning platform mean you’ll gain experience and knowledge here.","Manager,Temps plein,Ingénierie,Jeux électroniques"
4,Développeur front-end,pasteque.io,Paris,il y a 3 semaines,https://fr.linkedin.com/jobs/view/externalApply/3310625578?url=https%3A%2F%2Fwww%2Emeteojob%2Ecom%2Fjobads%2F25370225%3Futm_source%3Dlinkedin%26utm_medium%3Daggregator-free&urlHash=snTJ&refId=QVRa0BIG2SiEoICemi9y2Q%3D%3D&trackingId=7GOfvcf0AL0UpiYMrs1tcQ%3D%3D&trk=public_jobs_apply-link-offsite,"Description Du PosteL'ENTREPRISEFondée en 2015 par 3 cofondateurs et composée aujourd'hui de 12 collaborateurs experts dans leurs domaines, cette start up parisienne permet à ses clients de traiter et mettre en qualité toutes leurs données, simplement et rapidement.En proposant ce premier logiciel de Data Preparation no code et souverain, ils permettent :de traiter tout type de données, structurées et non structurées, internes et externes tout en répondant aux enjeux de sécurité et de confiance des secteurs sensiblesde proposer en toute simplicité l'automatisation des pipelines de données pour accélérer le temps de mise en qualité et réduire le risque d'erreursde s'intégrer à l'environnement de leurs clients et faire appel à des outils tiers via des APIAvec une belle levée de fonds en 2020, ils sont en pleine croissance commerciale avec de très beaux clients dans le secteur de la défense et du service public.Pourquoi les rejoindre ? Pour être parmi les premiers dans cette aventure, participer à la croissance d'un projet innovant, à la construction du premier logiciel de Data Preparation no code européen et bénéficier de grandes perspectives d'évolutions dans un environnement startup à taille humaine !LA MISSIONEn tant que développeur front-end, tu participeras au développement de leur logiciel de Data Preparation et interviendras sur tous les composants Front (+ UX / UI suivant vos compétences).Au sein de cette petite équipe expérimentée, tu participeras directement au développement et la croissance de l'entreprise : au contact des équipes internes et de celles de leurs clients tu disposeras d'une grande liberté de travail et d'une vision complète de l'ensemble de l'activité de l'entreprise et des projets de leurs clients.Dans Ce Cadre, Tes Missions Seront DeDévelopper de nouvelles fonctionnalités dans le logiciel en intervenant dans le frontend (SSR)Prototyper et maquette des évolutions produitTravailler en étroite collaboration avec l'équipe produit en apportant un regard technique sur la partie FrontÊtre force de proposition sur le design et les solutions techniques mises en oeuvreStack : HTML, CSS, Javascript, DjangoPROFIL RECHERCHÉTu es diplômé d'un niveau master spécialisé en informatique ou ingénieur et tu as au moins 5 ans d'expériences à un poste similaire.Tes compétences de développeurs front-end ont déjà été validés lors d'une première expérience chez un éditeur de logiciel, idéalement une start up ou PME.Tu es reconnu pour ta bonne organisation, ta conscience professionnelle, ton agilité, ta sensibilité produit et ton goût du challenge. Mais par-dessus tout tu as envie de travailler dans une start-up, de devenir un élément clé en étant proactif, autonome et intégré à une équipe dont tu pourras prendre le lead à moyen terme.Compétences Obligatoires Sur Ce PosteHTMLCSSJavascriptWebSocketIntérêt pour les sujets liés à la DataUne expérience avec les technologies suivantes est un plus :SASSTypeScriptDjangoRestFrameworkD3 ou équivalentMODALITÉSType de contrat : CDI, statut cadrePrise de poste : ASAPRémunération : 60-72K brut annuel + bonus 10% selon profilAvantages : Jours de vacances supplémentaires + accès premium à une salle de sport + crècheLocalisation : Paris (3ème arrondissement)Remote : 2 jours de remote par semaineProcess De Recrutement Rapide Et EfficaceÉchange téléphonique avec le CEO (15 min)Entretien technique en visio avec le CTO (1h)Entretien en présentiel avec d'autres personnes de l'équipe (1h)","Premier emploi,Temps plein,Ingénierie et Technologies de l’information,Services de ressources humaines"
5,Front-end Developer,SorareData,Paris,il y a 1 mois,,"SorareData (SD) is leading the gaming industry revolution by providing companion apps to fantasy sports games that make use of blockchain and NFTs. Backed by Seedcamp, Kima Ventures & more, SD is looking to grow fast in the upcoming months by hiring 5 to 10 people and provide an even better experience to players around the world.SorareData is the leading companion app for Sorare players, a global football fantasy games. It provides market data, player stats & scouting features, a live experience, side games & more... SorareData is visited by more than 100,000 unique devices weekly. More than 80% of owners with 10+ Sorare cards have a SorareData account. It's the go-to platform for any Sorare player.At SorareData, we want to provide the best experience possible for Sorare managers around the world by bringing them amazing and meaningful features.To do that, we need to enhance our technical team with a passionate and motivated front-end developer. Our ambition is to always be in sync with our users' needs and to release new features as fast as possible. There's no place for routine or boredom. The best is... we won't stop there! We want to scale to welcome tens of thousands of users daily and explore other opportunities for companion apps.You'll have the chance to craft and improve an always-growing platform and learn about innovative technologies daily. As one of the first employees of the company, you will get responsibilities fast and be able to make decisions on critical matters soon after you joined.SorareData is built with Golang, React (+ Tailwind), React Native, MySQL, AWS/GCP, Ethereum, Starkware and great minds!ResponsibilitiesWork on new features developmentClean/rework the legacy codebaseMake sure that the team is using the most effective tools for front-end developmentLay the foundations for upcoming new sportsRequirementsProven experience as a Front-end developer or similar role (2+ years)Experience developing responsive applicationsExcellent communication and teamwork skillsAn analytical mindMaster degree in Computer Science, Statistics or relevant fieldGood experience with ReactNice to havePassionate about decentralized applications/blockchain/cryptoNot hating Football (Soccer) & baseballThe ambition to build fast and focus only on meaningful thingsAmbition to manage a team further down the roadBenefitsPrivate Health InsurancePaid Time OffCompany equity","Directeur,Temps plein,Ingénierie,Services aux consommateurs"
6,Développeuse / Développeur Fullstack Junior H/F - IDF,Capgemini,Ville de Paris,il y a 1 semaine,https://fr.linkedin.com/jobs/view/externalApply/3319671989?url=https%3A%2F%2Fwww%2Ecapgemini%2Ecom%2Fjobs%2F5eEq8IMB470zF5SEEvSx%2FD%C3%A9veloppeuse-%2F-D%C3%A9veloppeur-Fullstack-Junior-H%2FF---IDF&urlHash=yQtR&refId=QVRa0BIG2SiEoICemi9y2Q%3D%3D&trackingId=97b2ZkAlIvxWS4rVFHrTig%3D%3D&trk=public_jobs_apply-link-offsite,"Poste en CDI à pourvoir en 2023Qui sommes nous ?Capgemini recherche un Developpeur Fullstack pour rejoindre ses Squads projet. Nous rejoindre c’est intervenir au cœur du métier d’intégrateur de Capgemini pour le développement des systèmes et programmes critiques dans le cadre des transformations Agiles, Digitales et Data de nos clients.Être Développeur Fullstack c’est être passionné pour développer des applications serverless à base de Microservices, des Front-End de type SPA (angular, react, vue), et construire des plateformes performantes de diffusion ou d’ingestion continue de données. Être Développeur Fullstack, c’est enfin maitriser la qualité de code et les concepts d’industrialisation.Vôtre rôle sera de Construire des applications performantes, évolutives et scalables. Collaborer à la mise en place du continuous delivery sur diverses applications. Concevoir, développer et optimiser les interfaces web jusqu’à leur mise en production. Participer aux développements côté back et avoir une sensibilité pour le front en découvrant de nouveaux Frameworks. Travailler dans des équipes métier à taille humaine en Agile Intégrer notre communauté des Software Engineers dans laquelle vous pourrez interagir, participer à l’entraide et à des évènements sur des nouvelles technologies, des retours d’expériencesVous êtes ouvert sur un des domaines suivantsBack-end : Java, Spring, Springboot, Jhipster, NodeJSFront-end : Javascript,Angular, ReactJS, VueJSBase de données : Mysql, PostgreSQL, MongoDBArchitectures : Microservices, Monolithiques, ServerlessCloud : Public (AWS, Azure, GCP) & Privé (Openshift / redHat)Devops : Jenkins, Kubernetes, DockerMethodologies : Scrum, SAFeToutefois ce qui nous intéresse au-delà des compétences que nous recherchons, c’est votre personnalité, votre désir d’évoluer et de monter en compétences.C’est pourquoi, nous vous proposons– Un accompagnement privilégié en étant « Mentorer » par un de nos collaborateurs plus senior– D’avoir un accès à tout un panel de formations & de certifications (Azure,AWS,GCP, Mulesoft, SAFe…)– D’être accompagné dans votre évolution (programme de formation, accompagnement spécifique…)– D’intégrer des communautés d’Architectes, de Software Engineers, Agile et de Chef de projetCAPGEMINI, Entreprise handi accueillante, conformément à la norme AFNOR NF X50-783, est également signataire de la charte de la diversité en entreprise","Premier emploi,Temps plein,Ingénierie et Technologies de l’information,Sécurité informatique et des réseaux"
7,Développeur Front-End junior (client final) H/F,Hurryman,Paris,il y a 3 semaines,https://fr.linkedin.com/jobs/view/externalApply/3330110575?url=https%3A%2F%2Frecruit%2Ezoho%2Ecom%2Frecruit%2FViewJob%2Ena%3Fdigest%3DKQYc%2EOzXkQ0Uz0%25404oobgbkvh4SGANzK2NzAm8FgMFbI-%26embedsource%3DLinkedIn%252BLimited%252BListings&urlHash=cvQ6&refId=QVRa0BIG2SiEoICemi9y2Q%3D%3D&trackingId=xBSJq%2FGR0kULTHjX21DPqw%3D%3D&trk=public_jobs_apply-link-offsite,"Notre client, société de conseil à taille humaine spécialisée en sécurité informatique, recrute pour le compte de ses services internes un(e) développeur(se) junior front-end.Le PosteRattaché(e) Au Responsable Du Développement Informatique Dun Cabinet Spécialisé Dans Les Tests Dintrusion Depuis Vingt Ans, Vous Travaillez Dans Une Équipe De Six Développeurs Et Votre Rôle Consistera à Intervenir Sur Des Projets De Développements Liés Aux Outils Internes, Principalement Un outil de CTI (Cyber Threat Intelligence et cybersurveillance) utilisé par une équipe danalystes cybersécurité dans le cadre de leurs missions : détection de vulnérabilités, anticipation des attaques, risques métiers... Un portail applicatif destiné aux clients et permettant de synthétiser lensemble des résultats obtenus au cours des missions / audits menés par le cabinet.Également, vous pourrez intervenir temporairement sur dautres projets et participer à des travaux R&D.Le ProfilDe formation technique, vous disposez dune première expérience réussie dans le développement informatique (alternances et stages acceptés).Vous disposez de bonnes compétences en technologies web (Flask/MongoDB/Redis/Angular) et détenez idéalement quelques connaissances en langage de programmation Python.Vous maîtrisez les environnements GNU / Linux (CentOS).Vous êtes méthodique et avez le sens des priorités.Vous disposez dun niveau danglais a minima intermédiaire.CDILieu : ParisSalaire : 35 000 - 40 000 euros.Démarrage : dès que possible.","Premier emploi,Temps plein,Ingénierie et Technologies de l’information,Services et conseil aux entreprises"
8,Stage/Alternance - Fullstack Developer PHP / React (H/F),Withings,Issy-les-Moulineaux,il y a 1 mois,,"Chez Withings, nous souhaitons redonner aux individus le contrôle de leur santé.Nous avons l’obsession de créer des produits beaux et intuitifs, afin que chacun puisse les utiliser facilement au quotidien; nos balances connectées, montres hybrides, tensiomètres, moniteurs de sommeil et tous les dispositifs de notre gamme sont aujourd’hui utilisés par des millions d’utilisateurs.Notre objectif : permettre la prévention, le dépistage et l’accompagnement d’un certain nombre de maladies chroniques via des produits et des services innovants, afin de révolutionner la manière dont on prend soin de notre santé.Nous proposons à nos clients business un ensemble de services API pour suivre les données de leurs utilisateurs à partir de nos objets connectés. Afin d'améliorer l'expérience client et le suivi de l'utilisation de nos services, nous souhaitons développer une application web complète et esthétique.Intégré.e au sein de l’équipe Plateforme, tu seras amené.e à:Comprendre le fonctionnement de nos services API dédiés à nos clients business ;Prendre connaissance des interfaces et des métriques existantes ;Réfléchir aux fonctionnalités, au design et à l'architecture de l'application web (en React) ;Implémenter la solution de façon Agile (back et front) ;Découvrir les différents métiers web de Withings et intervenir sur des sujets annexes ;Être force de proposition pour améliorer nos process.RequirementsTu es idéalement en recherche d'un stage de fin d'études/césure ou d'une alternance et tu as idéalement une première expérience en développement web ;Tu as de très bonnes connaissances en PHP, JavaScript, HTML et SASS ainsi que des environnements Linux et des outils de versioning (Git) ;Tu as déjà travaillé sur le framework JavaScript React ;Tu es rigoureux.se, polyvalent.e et autonome ;Tu es doté.e d’un excellent sens de la communication en français et en anglais, aussi bien à l’écrit qu’à l’oral ;Un profil Github ou toute démonstration d'un projet personnel serait un +.BenefitsRejoindre l’aventure Withings, c’est :Intégrer un des pionniers et leaders mondiaux de la santé connectée, plusieurs fois primé au Consumer Electronic ShowContribuer à des projets innovants et ambitieux pour la santé de demain dans un environnement agile et en constante évolutionIntégrer une entreprise internationale, membre de la FrenchTech 120, dont les équipes sont basées à Issy-les-Moulineaux, Boston, Hong-Kong et Shenzhen Participer à l’amélioration continue de nos produits et services en les bêta-testant avant leur sortie, notamment lors de nos nombreuses sessions sportives entre collèguesParticiper à la Withings Med Academy en assistant à des conférences de professionnels de santé afin de renforcer ses connaissances dans le domaine médicalCollaborer avec des collègues passionnés et célébrer ensemble chacune de nos réussites !Toutes les candidatures reçues sont étudiées indépendamment de l’origine ethnique, des croyances, de la religion, du genre, de l’orientation sexuelle ou de la santé des candidats. Withings aspire à offrir et garantir l’égalité des chances aux candidats et seules les personnes habilitées (RH et Management) auront accès aux informations concernant votre candidature.","Stage,Temps plein,Ingénierie et Technologies de l’information,Services de bien-être et fitness"
9,Développeur Front End F/H,VISEO,Boulogne-Billancourt,il y a 11 mois,https://fr.linkedin.com/jobs/view/externalApply/2783298973?url=https%3A%2F%2Fapp%2Eapplytojob%2Ecom%2Fapply%2Fjob%2FF5ykdXDZ3a%3Fsource%3DLINKR&urlHash=eE16&refId=QVRa0BIG2SiEoICemi9y2Q%3D%3D&trackingId=hFXthlreTZNfvbZACvde5w%3D%3D&trk=public_jobs_apply-link-offsite,"Passionné par le craftmanship et le développement sur les technologies innovantes ? Référent ou leader technique dans l’âme, vous désirez passer un cap dans votre carrière et participer à des projets challengeants  ?  Au sein de VISEO Digital Technologies, nous recherchons un Développeur Front End (F/H) pour intervenir chez nos clients et contribuer au développement de notre Practice “Web & Mobile”  Nous sommes des “Positive Digital Makers”, l’agilité fait partie intégrante de notre ADN. Nous avons massivement investi ces 10 dernières années pour que cette approche nous aide à mieux délivrer nos projets et accompagner nos clients dans la gestion de leur produit tout en restant focus sur la valeur métier apportée. Cet investissement s’est vu concrétisé par la création de plusieurs offres : notre offre de Factory Agile et notre offre de coaching et de transformation digital.  Vos missions :  Assurer le poste de Développeur Front End intervenant sur des problématiques d'implémentations web du mobile au desktop Intégrer une équipe SCRUMParticiper à la réalisation des missions de conception, de développement et d’accompagnement de nos clients sur l'une des briques suivantes : Angular, React, Vue, TypeScript, Javascript,Partager les bonnes pratiques de développement afin d’inspirer tous les membres de l’équipe Apporter support et conseils technique à vos co-équipiers  Organiser périodiquement des activités type code review et pair programming pour améliorer continuellement la performance collective Être force de proposition sur tous les aspects du projet de la conception à l'implémentation en passant par le développement et les tests Participer à la conception des écrans et à l’ergonomie des applications en collaboration avec les UX Designers   Contribuer à la réussite du projet. Garantir la qualité de la solution Robustesse, performance, sécurité, évolutivité, lisibilité seront vos préoccupations quotidiennes Votre profil : Ingénieur diplômé avec impérativement 2-3 ans d'expérience.  Aguerri aux méthodes agiles (SCRUM, XP, KANBAN…) participation à plusieurs projets fort enjeux business directement liés au métier de l’entreprise avec des contraintes de time-to-market significative. Passionné par le développement et la conception, aisance relationnelle pour communiquer clairement par vos actions. Expert et polyvalent sur les technologies Front End : Angular, React, Vuejs, TypeScript, Javascript. Être un développeur curieux Aimer appréhender l'hétérogénéité de l'écosystème web actuel Concevoir des applications modulaires et la définition de composants réutilisables n'ont plus de secrets pour vous Comprendre l'importance d'une architecture applicative robuste Connaitre les principes SOLID et leur mise en oeuvre Rigueur et souci de la qualité logicielle Aimer le travail en équipe  Pratiques DevOps et capacité d’écoute Goût du challenge et de l’opérationnel : au cœur des problématiques avec l’équipe Capacité à challenger le fonctionnel et le client Pragmatique, rigoureux et soucieux de la satisfaction client, vous aimez proposer des solutions.  Intégrer nos équipes Web & Mobile au quotidien, ça veut dire quoi ? Vous ferez partis de la communauté « Web & Mobile » : la proximité et la taille humaine de notre organisation vous permettront de rendre visible vos initiatives et d’évoquer facilement vos projets. En parallèle, le dynamisme de l’entreprise et sa croissance perpétuelle multiplieront vos opportunités d’évolution.     A titre individuel, vous serez accompagné par votre mentor tout au long de votre parcours chez Viseo, il sera votre point de contact privilégié quant à l’évolution de votre carrière et le suivi des missions qui vous seront confiées.    Vous disposerez de multiples moyens pour monter en compétences et découvrir de nouveaux domaines : formations, certifications, Brown Bag Lunchs, ateliers, meet-ups, rencontre d’experts, séminaires techniques…    # VISEO SPIRIT :   Un programme d’apprentissage en e-learning : Accès Digital Academy et 7Speaking  Un accompagnement pour le bien-être : Sophrologie, Yoga, Gymlib, IKVélo…  Deux jours de télétravail par semaine  Evénements réguliers (soirées thématisées, afterwork, team building)  Devenez un #PositiveDigitalMaker !","Premier emploi,Temps plein,Ingénierie et Technologies de l’information,Services et conseil informatiques"
